code_012,ocs_nature_clc
111,A/NATUREL
112,A/NATUREL
121,A/NATUREL
122,A/NATUREL
123,A/LOGISTIQUE
124,A/LOGISTIQUE
131,A/CARRIERE
132,A/CARRIERE
133,A/CARRIERE
141,A/NATUREL
142,A/NATUREL
211,A/AGRICOLE
212,A/AGRICOLE
213,A/AGRICOLE
221,A/VIGNE
222,A/AGRICOLE
223,A/AGRICOLE
231,A/PRAIRIE
241,A/AGRICOLE
242,A/AGRICOLE
243,A/AGRICOLE
244,A/AGRICOLE
311,A/FORET
312,A/FORET
313,A/FORET
321,A/PELOUSE
322,A/LANDES
323,A/LANDES
324,A/LANDES
331,ROCHERS
332,ROCHERS
333,ROCHERS
334,ROCHERS
335,NEIGE
411,A/ZONE_HUMIDE
412,A/ZONE_HUMIDE
421,A/ZONE_HUMIDE
422,A/ZONE_HUMIDE
423,A/ZONE_HUMIDE
511,A/NATUREL
512,A/NATUREL
521,A/NATUREL
522,A/NATUREL
523,A/NATUREL
